2021-06-26 22:06:158 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-26 22:06:749 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-26 22:06:412 INFO  HomePage :39 - Clicking on Top Menu....[[ChromeDriver: chrome on WINDOWS (a3274f27e252af23d9ff1266bf77ccab)] -> xpath: //ul[@class='top-menu notmobile']/child::li]
2021-06-26 23:06:833 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:150 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:292 INFO  HomePage :42 - Clicking on Top Menu....[[ChromeDriver: chrome on WINDOWS (271bf898837e914cb27cc9616a2b12a2)] -> xpath: //ul[@class='top-menu notmobile']/child::li]
2021-06-27 22:06:297 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:885 INFO  HomePage :42 - Clicking on Top Menu....[[ChromeDriver: chrome on WINDOWS (da182c89fecf20881cdee96e4d8758ca)] -> xpath: //ul[@class='top-menu notmobile']/child::li]
2021-06-27 22:06:636 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:941 INFO  HomePage :48 - Clicking on Computer Menu....[[ChromeDriver: chrome on WINDOWS (3bef3d80a5fa9691e616c102ea3d8036)] -> xpath: //ul[@class='top-menu notmobile']/child::li[1]]
2021-06-27 22:06:67 INFO  ComputerPage :20 - Clicking on Desktop....[[ChromeDriver: chrome on WINDOWS (3bef3d80a5fa9691e616c102ea3d8036)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]]
2021-06-27 22:06:172 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:275 INFO  HomePage :48 - Clicking on Computer Menu....[[ChromeDriver: chrome on WINDOWS (d0ab6ee909a77cae31df2de0137c74d5)] -> xpath: //ul[@class='top-menu notmobile']/child::li[1]]
2021-06-27 22:06:378 INFO  ComputerPage :20 - Clicking on Desktop....[[ChromeDriver: chrome on WINDOWS (d0ab6ee909a77cae31df2de0137c74d5)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]]
2021-06-27 22:06:677 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:687 INFO  HomePage :48 - Clicking on Computer Menu....[[ChromeDriver: chrome on WINDOWS (9388ac4538e674478be41edbb23764ea)] -> xpath: //ul[@class='top-menu notmobile']/child::li[1]]
2021-06-27 22:06:820 INFO  ComputerPage :20 - Clicking on Desktop....[[ChromeDriver: chrome on WINDOWS (9388ac4538e674478be41edbb23764ea)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]]
2021-06-27 22:06:464 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:728 INFO  HomePage :48 - Clicking on Computer Menu....[[ChromeDriver: chrome on WINDOWS (5e447c24eda1727c64ce38d7a6a04572)] -> xpath: //ul[@class='top-menu notmobile']/child::li[1]]
2021-06-27 22:06:180 INFO  ComputerPage :20 - Clicking on Desktop....Proxy element for: DefaultElementLocator 'By.xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]'
2021-06-27 22:06:555 INFO  DesktopPage :47 - Sorting ....[[ChromeDriver: chrome on WINDOWS (5e447c24eda1727c64ce38d7a6a04572)] -> id: products-orderby]
2021-06-27 22:06:637 INFO  DesktopPage :53 - checking products are sorted....[]
2021-06-27 22:06:978 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 22:06:977 INFO  HomePage :48 - Clicking on Computer Menu....[[ChromeDriver: chrome on WINDOWS (79df42e1108be7528e7a0583d5c41ed4)] -> xpath: //ul[@class='top-menu notmobile']/child::li[1]]
2021-06-27 22:06:280 INFO  ComputerPage :20 - Clicking on Desktop....Proxy element for: DefaultElementLocator 'By.xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]'
2021-06-27 22:06:571 INFO  DesktopPage :47 - Sorting ....[[ChromeDriver: chrome on WINDOWS (79df42e1108be7528e7a0583d5c41ed4)] -> id: products-orderby]
2021-06-27 22:06:652 INFO  DesktopPage :53 - checking products are sorted....[]
2021-06-28 01:06:545 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 01:06:874 INFO  HomePage :48 - Clicking on Computer Menu....[[ChromeDriver: chrome on WINDOWS (83f714c8b381d6c0dd3d4cd2e9d0332c)] -> xpath: //ul[@class='top-menu notmobile']/child::li[1]]
2021-06-28 01:06:268 INFO  ComputerPage :20 - Clicking on Desktop....Proxy element for: DefaultElementLocator 'By.xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]'
2021-06-28 01:06:547 INFO  DesktopPage :47 - Sorting ....[[ChromeDriver: chrome on WINDOWS (83f714c8b381d6c0dd3d4cd2e9d0332c)] -> id: products-orderby]
2021-06-28 01:06:631 INFO  DesktopPage :53 - checking products are sorted....[]
2021-06-28 01:06:353 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-28 01:06:853 INFO  HomePage :48 - Clicking on Computer Menu....[[ChromeDriver: chrome on WINDOWS (5cfeb298acb89935a1a9edab4c33e04a)] -> xpath: //ul[@class='top-menu notmobile']/child::li[1]]
2021-06-28 01:06:367 INFO  ComputerPage :20 - Clicking on Desktop....Proxy element for: DefaultElementLocator 'By.xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]'
2021-06-28 01:06:690 INFO  DesktopPage :47 - Sorting ....[[ChromeDriver: chrome on WINDOWS (5cfeb298acb89935a1a9edab4c33e04a)] -> id: products-orderby]
2021-06-28 01:06:844 INFO  DesktopPage :60 - Clicking on Add to cart....[[ChromeDriver: chrome on WINDOWS (5cfeb298acb89935a1a9edab4c33e04a)] -> xpath: //div[@data-productid='1']/div[2]/div[3]/div[2]/button[3]]
2021-06-28 01:06:56 INFO  BuildYourOnComputerPage :45 - Verifying Build Your Own Computer text....[[ChromeDriver: chrome on WINDOWS (5cfeb298acb89935a1a9edab4c33e04a)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-28 01:06:07 INFO  BasePage :33 - Launching Chrome Browser 
